store_nbr,store_name,latitude,longitude
"1,358",WALTERBORO SC,32.934593,-80.689624
"4,335","FALCON (PEYTON), CO",38.939226,-104.612989
"4,638","RUCKERSVILLE, VA",38.235827,-78.372899
"3,425",HOUSTON (ALMEDA GENOA) TX,29.630807,-95.237624
"3,720","ARBUTUS, MD",39.248504,-76.667441
501,LAUREL MS,31.709541,-89.146671
"2,028","RIVERSIDE (S), CA",33.937071,-117.455339
625,GEORGETOWN SC,33.393896,-79.286476
239,"KOSCIUSKO, MS.",33.054882,-89.566911
"1,714",FAIRMONT WV,39.424925,-80.190847
"3,842","MACEDON, NY",43.066512,-77.357871
"1,349",SUNRISE FL,26.167991,-80.254312
"1,585",NORTH PLATTE NE,41.120783,-100.757712
186,EL DORADO KS,37.814663,-96.892061
"4,025","AHOSKIE, NC FORMER 1950",36.2702,-76.9704
"2,459","SARASOTA (S), FL",27.292121,-82.450128
"3,151",OMAHA 50TH & AMES NE,41.302118,-95.991455
384,LUMBERTON TX,30.258479,-94.216602
"3,794","FEDERAL WAY (S), WA",47.292601,-122.310195
"1,171",SARASOTA FL,27.392175,-82.506866
"1,126",BOERNE TX,29.778708,-98.724352
"6,394",NORTH SHORE WI,43.179172,-87.988185
"3,852","UNICOI, TN",36.188269,-82.372798
"6,987",BORGER TX FORMER 1516,35.6605,-101.408
"2,338","TRAVERSE CITY, MI",44.727884,-85.633049
"4,064",VIRGINIA BEACH FX VA,36.842772,-76.143022
"2,314","WAIPAHU, HI",21.391385,-158.034591
"2,316","NORTH OLMSTED, OH",41.417864,-81.896852
"5,039",CAMDEN DE 11-12-02,39.102653,-75.546172
807,"N RICHLAND HILLS, TX",32.842647,-97.246564
"5,273","SEQUIM, WA",48.080129,-123.134232
"4,247","HAVRE, MT",48.554783,-109.737138
"2,307","SOUTH JORDAN, UT",40.545757,-111.901408
"1,997","LATHAM (COLONIE), NY",42.746495,-73.764381
"3,807","BENSON, AZ",31.968821,-110.314252
710,HERMITAGE TN,36.216456,-86.600622
335,JACKSON TN,35.668361,-88.851603
"2,403","PUYALLUP, WA",47.161358,-122.288662
124,LITTLE ROCK AR,34.667121,-92.377125
"5,440",CLACKAMAS OR,45.450534,-122.575518
"1,134",DE FUNIAK SPRINGS FL,30.704551,-86.125122
"1,816",KNIGHTDALE NC,35.795813,-78.491086
"2,239","SAN ANTONIO (W), TX",29.442645,-98.642306
"1,213","BROOKSVILLE, FL",28.531171,-82.505707
"2,651","MANVILLE, NJ",40.546713,-74.583746
"2,135","COBLESKILL, NY",42.682391,-74.455252
"2,006","CLARKSTON,WA",46.422871,-117.049449
"5,677",FERNDALE WA,48.841819,-122.57503
"3,439","NAVARRE, FL",30.412185,-86.830831
"1,301",ROANOKE (S) VA,37.206757,-79.950787
"2,351","CATSKILL, NY",42.212559,-73.882972
509,OPTICAL LABS VIRTUAL STORE,39.842047,-82.937394
163,NACOGDOCHES TX,31.650027,-94.652353
19,POPLAR BLUFF MO,36.755743,-90.411807
"2,096","WARMINSTER, PA",40.194805,-75.080852
"1,808",STEAMBOAT SPRINGS CO,40.461968,-106.823345
"1,675",LEBANON KY,37.553416,-85.283811
"3,280","ROCHESTER, NY",43.194281,-77.596869
"4,412","LAUREL, MT",45.667469,-108.759077
